country,article count,quality count,Population mid-2018 (millions),population (millions)
Afghanistan,326,10,36.5,36.5
Albania,460,4,2.9,2.9
Algeria,119,2,42.7,42.7
Andorra,34,0,0.08,0.08
Angola,110,0,30.4,30.4
Antigua and Barbuda,25,0,0.1,0.1
Argentina,496,15,44.5,44.5
Armenia,198,5,3,3.0
Australia,1566,42,24.1,24.1
Austria,340,3,8.8,8.8
Azerbaijan,182,2,9.9,9.9
Bahamas,20,0,0.4,0.4
Bahrain,42,1,1.5,1.5
Bangladesh,323,3,166.4,166.4
Barbados,14,0,0.3,0.3
Belarus,72,2,9.5,9.5
Belgium,523,0,11.4,11.4
Belize,16,0,0.4,0.4
Benin,94,7,11.5,11.5
Bhutan,33,3,0.8,0.8
Bolivia,187,1,11.3,11.3
Bosnia-Herzegovina,177,7,3.5,3.5
Botswana,68,2,2.2,2.2
Brazil,551,3,209.4,209.4
Bulgaria,226,3,7,7.0
Burkina Faso,97,3,20.3,20.3
Burundi,76,1,11.8,11.8
Cambodia,217,3,16,16.0
Cameroon,105,0,25.6,25.6
Canada,850,25,37.2,37.2
Cape Verde,37,0,0.6,0.6
Central African Republic,68,8,4.7,4.7
Chad,100,2,15.4,15.4
Chile,352,3,18.6,18.6
China,1135,33,"1,393.8",1393.8
Colombia,288,3,49.8,49.8
Comoros,51,0,0.8,0.8
Congo,149,2,5.4,5.4
"Congo, Dem. Rep. of",142,8,84.3,84.3
Costa Rica,150,0,5,5.0
Croatia,168,2,4.1,4.1
Cuba,176,2,11.1,11.1
Cyprus,101,1,1.2,1.2
Czech Republic,254,1,10.6,10.6
Denmark,291,4,5.8,5.8
Djibouti,39,0,1,1.0
Dominica,12,1,0.07,0.07
Dominican Republic,64,1,10.8,10.8
East Timorese,36,0,1.2,1.2
Ecuador,187,2,17,17.0
Egypt,237,8,97,97.0
Equatorial Guinea,32,1,1.3,1.3
Eritrea,16,1,6,6.0
Estonia,153,1,1.3,1.3
Ethiopia,105,1,107.5,107.5
Federated States of Micronesia,38,0,0.1,0.1
Fiji,199,1,0.9,0.9
Finland,572,0,5.5,5.5
France,1689,20,65.1,65.1
Gabon,103,5,2.1,2.1
Gambia,82,4,2.2,2.2
Germany,701,14,82.8,82.8
Ghana,394,6,29.5,29.5
Greece,311,8,10.6,10.6
Grenada,36,1,0.1,0.1
Guatemala,84,5,17.2,17.2
Guinea,89,2,11.9,11.9
Guinea-Bissau,21,1,1.9,1.9
Guyana,20,0,0.8,0.8
Haiti,166,3,10.8,10.8
Hondura,189,0,9,9.0
Hungary,614,9,9.8,9.8
Iceland,206,2,0.4,0.4
India,986,14,"1,371.3",1371.3
Indonesia,214,8,265.2,265.2
Iran,826,11,81.6,81.6
Iraq,302,8,40.2,40.2
Ireland,381,24,4.9,4.9
Israel,497,21,8.5,8.5
Italy,828,6,60.6,60.6
Jamaica,85,2,2.9,2.9
Japan,441,8,126.5,126.5
Jordan,48,1,10.2,10.2
Kazakhstan,79,0,18.4,18.4
Kenya,379,6,51,51.0
Kiribati,32,0,0.1,0.1
"Korea, North",39,7,25.6,25.6
"Korea, South",282,4,51.8,51.8
Kosovo,48,1,1.8,1.8
Kuwait,37,1,4.2,4.2
Kyrgyzstan,72,3,6.1,6.1
Laos,109,2,7,7.0
Latvia,56,1,1.9,1.9
Lebanon,188,7,6.1,6.1
Lesotho,30,0,2.3,2.3
Liberia,158,2,4.9,4.9
Libya,111,3,6.5,6.5
Liechtenstein,29,0,0.04,0.04
Lithuania,248,1,2.8,2.8
Luxembourg,180,1,0.6,0.6
Macedonia,65,0,2.1,2.1
Madagascar,239,6,26.3,26.3
Malawi,122,3,19.1,19.1
Malaysia,391,7,32.5,32.5
Maldives,84,2,0.4,0.4
Mali,116,3,19.4,19.4
Malta,103,0,0.5,0.5
Marshall Islands,37,0,0.06,0.06
Mauritania,52,5,4.5,4.5
Mauritius,68,1,1.3,1.3
Mexico,1081,9,130.8,130.8
Moldova,426,0,3.5,3.5
Monaco,40,0,0.04,0.04
Mongolia,92,3,3.2,3.2
Montenegro,74,1,0.6,0.6
Morocco,208,1,35.2,35.2
Mozambique,60,0,30.5,30.5
Myanmar,237,6,53.9,53.9
Namibia,165,1,2.5,2.5
Nauru,53,0,0.01,0.01
Nepal,361,0,29.7,29.7
Netherlands,702,8,17.2,17.2
New Zealand,790,12,4.9,4.9
Nicaragua,116,1,6.3,6.3
Niger,80,3,22.2,22.2
Nigeria,682,3,195.9,195.9
Norway,658,6,5.3,5.3
Omani,25,0,4.7,4.7
Pakistan,1030,17,200.6,200.6
Panama,109,5,4.2,4.2
Papua New Guinea,163,3,8.5,8.5
Paraguay,149,4,6.9,6.9
Peru,354,1,32.2,32.2
Philippines,512,21,107,107.0
Poland,781,12,38.4,38.4
Portugal,323,4,10.3,10.3
Qatar,51,2,2.7,2.7
Romania,348,40,19.5,19.5
Russia,882,31,147.3,147.3
Rwanda,105,1,12.6,12.6
Saint Kitts and Nevis,32,0,0.05,0.05
Saint Lucian,48,1,0.2,0.2
Saint Vincent and the Grenadines,22,0,0.1,0.1
Salvadoran,119,3,6.5,6.5
Samoan,77,2,0.2,0.2
San Marino,82,0,0.03,0.03
Sao Tome and Principe,22,0,0.2,0.2
Saudi Arabia,119,16,33.4,33.4
Senegal,43,2,16.3,16.3
Serbia,218,3,7,7.0
Seychelles,22,0,0.1,0.1
Sierra Leone,166,1,7.7,7.7
Singapore,68,3,5.8,5.8
Slovakia,119,0,5.4,5.4
Slovenia,59,1,2.1,2.1
Solomon Islands,98,0,0.7,0.7
Somalia,339,10,15.2,15.2
South Africa,382,7,57.7,57.7
South Sudan,133,1,13,13.0
Spain,879,34,46.7,46.7
Sri Lanka,465,10,21.7,21.7
Sudan,98,1,41.7,41.7
Suriname,40,1,0.6,0.6
Sweden,379,5,10.2,10.2
Switzerland,407,0,8.5,8.5
Syria,132,8,18.3,18.3
Taiwan,503,9,23.6,23.6
Tajikistan,39,1,9.1,9.1
Tanzania,408,1,59.1,59.1
Thailand,112,3,66.2,66.2
Togo,65,2,8,8.0
Tonga,63,1,0.1,0.1
Trinidad and Tobago,28,1,1.4,1.4
Tunisia,140,0,11.6,11.6
Turkey,353,4,81.3,81.3
Turkmenistan,33,0,5.9,5.9
Tuvalu,55,5,0.01,0.01
Uganda,188,0,44.1,44.1
Ukraine,304,15,42.3,42.3
United Arab Emirates,59,2,9.5,9.5
United Kingdom,865,57,66.4,66.4
United States,1091,82,328,328.0
Uruguay,290,2,3.5,3.5
Uzbekistan,29,1,32.9,32.9
Vanuatu,60,3,0.3,0.3
Venezuela,135,3,31.8,31.8
Vietnam,191,13,94.7,94.7
Yemen,122,2,28.9,28.9
Zambia,25,0,17.7,17.7
Zimbabwe,167,2,14,14.0
